,Opentime,Close,MA1,MA2
948,1653426000000,0.08136,,
949,1653426900000,0.08121,,
950,1653427800000,0.0808,,
951,1653428700000,0.08136,,
952,1653429600000,0.08119,,
953,1653430500000,0.08038,,
954,1653431400000,0.08048,,
955,1653432300000,0.08019,,
956,1653433200000,0.08072,,
957,1653434100000,0.08053,,
958,1653435000000,0.08049,,
959,1653435900000,0.08064,,
960,1653436800000,0.08032,,
961,1653437700000,0.08042,,
962,1653438600000,0.08091,,
963,1653439500000,0.08085,,
964,1653440400000,0.08115,,
965,1653441300000,0.08183,,
966,1653442200000,0.08212,,
967,1653443100000,0.08185,,
968,1653444000000,0.08246,,
969,1653444900000,0.08277,,
970,1653445800000,0.08252,,
971,1653446700000,0.08217,,
972,1653447600000,0.08182,,
973,1653448500000,0.08229,,
974,1653449400000,0.08263,,
975,1653450300000,0.08285,,
976,1653451200000,0.08224,,
977,1653452100000,0.08202,,
978,1653453000000,0.08188,,
979,1653453900000,0.08197,,
980,1653454800000,0.0822,,
981,1653455700000,0.08219,,
982,1653456600000,0.08141,,
983,1653457500000,0.08101,,
984,1653458400000,0.08099,,
985,1653459300000,0.08106,,
986,1653460200000,0.0815,,
987,1653461100000,0.08151,,
988,1653462000000,0.08177,,
989,1653462900000,0.08148,,
990,1653463800000,0.08147,,
991,1653464700000,0.08155,,
992,1653465600000,0.08136,,
993,1653466500000,0.08131,,
994,1653467400000,0.08127,,
995,1653468300000,0.08149,,
996,1653469200000,0.0806,,
997,1653470100000,0.08061,,
998,1653471000000,0.08072,,
999,1653471900000,0.08087,,
1000,1653472800000,0.08092,,
1001,1653473700000,0.08094,,
1002,1653474600000,0.08091,,
1003,1653475500000,0.08086,,
1004,1653476400000,0.0801,,
1005,1653477300000,0.08038,,
1006,1653478200000,0.08041,,
1007,1653479100000,0.08018,,
1008,1653480000000,0.08062,,
1009,1653480900000,0.08028,,
1010,1653481800000,0.08117,,
1011,1653482700000,0.08149,,
1012,1653483600000,0.08169,,
1013,1653484500000,0.08175,,
1014,1653485400000,0.08296,,
1015,1653486300000,0.08393,,
1016,1653487200000,0.08454,,
1017,1653488100000,0.08455,,
1018,1653489000000,0.08388,,
1019,1653489900000,0.08409,,
1020,1653490800000,0.08418,,
1021,1653491700000,0.08376,,
1022,1653492600000,0.08392,,
1023,1653493500000,0.08402,,
1024,1653494400000,0.08377,,
1025,1653495300000,0.0834,,
1026,1653496200000,0.08365,,
1027,1653497100000,0.08437,,
1028,1653498000000,0.0842,,
1029,1653498900000,0.0838,,
1030,1653499800000,0.08365,,
1031,1653500700000,0.08355,,
1032,1653501600000,0.08389,,
1033,1653502500000,0.08411,,
1034,1653503400000,0.08386,,
1035,1653504300000,0.08392,,
1036,1653505200000,0.08399,,
1037,1653506100000,0.08376,,
1038,1653507000000,0.08389,,
1039,1653507900000,0.08365,,
1040,1653508800000,0.08373,,
1041,1653509700000,0.08372,,
1042,1653510600000,0.08397,,
1043,1653511500000,0.08425,,
1044,1653512400000,0.08415,,
1045,1653513300000,0.08452,,
1046,1653514200000,0.08637,,
1047,1653515100000,0.08515,,
1048,1653516000000,0.08462,,
1049,1653516900000,0.08489,,
1050,1653517800000,0.08508,,
1051,1653518700000,0.0853,,
1052,1653519600000,0.08547,,
1053,1653520500000,0.08535,,
1054,1653521400000,0.08474,,
1055,1653522300000,0.0847,,
1056,1653523200000,0.08519,,
1057,1653524100000,0.08536,,
1058,1653525000000,0.08482,,
1059,1653525900000,0.08494,,
1060,1653526800000,0.08485,,
1061,1653527700000,0.08508,,
1062,1653528600000,0.08476,,
1063,1653529500000,0.08499,,
1064,1653530400000,0.08565,,
1065,1653531300000,0.08631,,
1066,1653532200000,0.08626,,
1067,1653533100000,0.08591,,
1068,1653534000000,0.08508,,
1069,1653534900000,0.08479,,
1070,1653535800000,0.08496,,
1071,1653536700000,0.08512,,
1072,1653537600000,0.08466,,
1073,1653538500000,0.08427,,
1074,1653539400000,0.08435,,
1075,1653540300000,0.08427,,
1076,1653541200000,0.0843,,
1077,1653542100000,0.08362,,
1078,1653543000000,0.08307,,
1079,1653543900000,0.08271,,
1080,1653544800000,0.0823,,
1081,1653545700000,0.08246,,
1082,1653546600000,0.08167,,
1083,1653547500000,0.08198,,
1084,1653548400000,0.08176,,
1085,1653549300000,0.08206,,
1086,1653550200000,0.08201,,
1087,1653551100000,0.08185,,
1088,1653552000000,0.08101,,
1089,1653552900000,0.08067,,
1090,1653553800000,0.08127,,
1091,1653554700000,0.0811,,
1092,1653555600000,0.08129,,
1093,1653556500000,0.08111,,
1094,1653557400000,0.08188,,
1095,1653558300000,0.08121,,
1096,1653559200000,0.0815,,
1097,1653560100000,0.08127,,
1098,1653561000000,0.08092,,
1099,1653561900000,0.08036,,
1100,1653562800000,0.08006,,
1101,1653563700000,0.08022,,
1102,1653564600000,0.08045,,
1103,1653565500000,0.08093,,
1104,1653566400000,0.08266,,
1105,1653567300000,0.08172,,
1106,1653568200000,0.08208,,
1107,1653569100000,0.08218,,
1108,1653570000000,0.08127,,
1109,1653570900000,0.08211,,
1110,1653571800000,0.08234,,
